행정번호,년도,평균연령,스트레스인지율
1111000000,2018,44.2,34.2
1114000000,2018,44.6,28.3
1117000000,2018,43.6,20
1120000000,2018,42,31.3
1121500000,2018,41.4,29.4
1123000000,2018,43.3,28
1126000000,2018,43.5,32.8
1129000000,2018,42.5,29.5
1130500000,2018,44.7,31
1132000000,2018,43.9,28.9
1135000000,2018,41.9,26.1
1138000000,2018,43.1,22.9
1141000000,2018,43,25.8
1144000000,2018,41.2,16.6
1147000000,2018,41,29.3
1150000000,2018,41.4,33.2
1153000000,2018,42.5,24.5
1154500000,2018,43.4,30.7
1156000000,2018,42.5,27.8
1159000000,2018,42.1,36.1
1162000000,2018,41.7,25.3
1165000000,2018,40.4,34.1
1168000000,2018,40.5,32.5
1171000000,2018,40.7,16.1
1174000000,2018,42.1,24.1
2611000000,2018,48.9,24.8
2614000000,2018,47.3,21.4
2617000000,2018,48.6,26.9
2620000000,2018,48.4,25.2
2623000000,2018,44.4,25.8
2626000000,2018,43.5,19.2
2629000000,2018,43.9,28.1
2632000000,2018,43,20.1
2635000000,2018,42.9,21.3
2638000000,2018,43.6,23.1
2641000000,2018,44.8,21.8
2644000000,2018,38.4,29
2647000000,2018,43.8,29.6
2650000000,2018,45.1,30.1
2653000000,2018,44,27.1
2671000000,2018,40.5,23.6
2711000000,2018,44.4,27.6
2714000000,2018,43.7,21.3
2717000000,2018,46.5,16.5
2720000000,2018,46.7,22.9
2723000000,2018,41,24.4
2726000000,2018,41.6,21.4
2729000000,2018,41.2,25.3
2771000000,2018,39.3,26.2
2811000000,2018,41.5,30.7
2814000000,2018,45.3,30.6
2817700000,2018,42.7,36.8
2818500000,2018,38.7,29.9
2820000000,2018,40.5,29.5
2823700000,2018,41.7,32.6
2824500000,2018,41.2,27.7
2826000000,2018,38.9,33.2
2871000000,2018,51.7,30.2
2872000000,2018,48.3,33
2911000000,2018,45.6,29.5
2914000000,2018,40.4,29.4
2915500000,2018,42,26.1
2917000000,2018,40.9,22.5
2920000000,2018,37,28.6
3011000000,2018,43.3,24
3014000000,2018,43.4,26.6
3017000000,2018,39.8,30.2
3020000000,2018,37.5,26.7
3023000000,2018,42.2,29.9
3111000000,2018,41.6,39.8
3114000000,2018,40.5,23
3117000000,2018,39.6,18.9
3120000000,2018,37.2,21.8
3171000000,2018,41.5,21.5
3611000000,2018,36.7,30.1
4111100000,2018,40.4,27.7
4111300000,2018,39.1,27.7
4111500000,2018,42.2,27.7
4111700000,2018,36,27.7
4113100000,2018,42.7,29.4
4113300000,2018,42.6,29.4
4113500000,2018,39.7,29.4
4115000000,2018,41.7,27.8
4117100000,2018,42.4,27.2
4117300000,2018,39.9,27.2
4119000000,2018,41.2,30.3
4121000000,2018,40.8,30.5
4122000000,2018,40,28.9
4125000000,2018,44.1,27
4127100000,2018,40.1,30.8
4127300000,2018,39.8,30.8
4128100000,2018,41.6,30.5
4128500000,2018,40.7,30.5
4128700000,2018,40.2,30.5
4129000000,2018,41.5,29
4131000000,2018,40.8,26.5
4136000000,2018,40.5,31.2
4137000000,2018,37.1,31
4139000000,2018,38.6,23.6
4141000000,2018,40.5,32.6
4143000000,2018,41.5,30.4
4145000000,2018,40.1,29.1
4146100000,2018,41,26.5
4146300000,2018,38.7,26.5
4146500000,2018,39,26.5
4148000000,2018,40,31.6
4150000000,2018,40.5,28.5
4155000000,2018,42.6,27.9
4157000000,2018,39,29.5
4159000000,2018,36.6,26.4
4161000000,2018,40.5,19.5
4163000000,2018,41.6,18.4
4165000000,2018,45,31.1
4167000000,2018,45.3,32.4
4180000000,2018,47,17.2
4182000000,2018,48.1,25.5
4183000000,2018,47.5,29.6
4211000000,2018,42.8,26.5
4213000000,2018,41.6,30.4
4215000000,2018,45.1,25.7
4217000000,2018,44.1,22.4
4219000000,2018,46.6,26.5
4221000000,2018,44.3,19.3
4223000000,2018,46.7,28.7
4272000000,2018,48.2,29
4273000000,2018,50.1,28.1
4275000000,2018,50.1,27.5
4276000000,2018,49.7,26.2
4277000000,2018,49.6,25.3
4278000000,2018,44.7,23.4
4279000000,2018,44.5,27.1
4280000000,2018,43.3,29.4
4281000000,2018,44.4,28.2
4282000000,2018,49.4,31.3
4283000000,2018,50.4,23.8
4311100000,2018,41.9,28.5
4311200000,2018,40.8,28.5
4311300000,2018,39,28.5
4311400000,2018,38.7,28.5
4313000000,2018,44.4,28.9
4315000000,2018,45.3,24.5
4372000000,2018,52.2,24.7
4373000000,2018,49.7,19.7
4374000000,2018,50.2,17.1
4374500000,2018,41.9,27.1
4375000000,2018,42.3,26.7
4376000000,2018,52.9,20.5
4377000000,2018,45.5,25.8
4380000000,2018,51,26.4
4413100000,2018,40.9,28.6
4413300000,2018,36.8,28.6
4415000000,2018,47.6,25.6
4418000000,2018,47.2,26.4
4420000000,2018,39.1,25.5
4421000000,2018,42.6,26.1
4423000000,2018,47.5,26
4425000000,2018,38.4,24.8
4427000000,2018,42.5,28.7
4471000000,2018,50.1,29.9
4476000000,2018,51.7,22.4
4477000000,2018,52.6,22
4479000000,2018,52.2,24.2
4480000000,2018,45.4,28.5
4481000000,2018,50.4,28.2
4482500000,2018,50.1,22.2
4511100000,2018,41.3,32.5
4511300000,2018,39.9,32.5
4513000000,2018,42.9,27.6
4514000000,2018,43.4,29.1
4518000000,2018,47.8,24
4519000000,2018,47.9,19.4
4521000000,2018,50.2,33.8
4571000000,2018,45,20.2
4572000000,2018,52,18.9
4573000000,2018,51.4,27.9
4574000000,2018,50.9,13.2
4575000000,2018,51.6,19.2
4577000000,2018,50.8,15.4
4579000000,2018,51.2,27.8
4580000000,2018,50.9,26.6
4611000000,2018,41.4,32.7
4613000000,2018,43.4,25
4615000000,2018,41.4,25.3
4617000000,2018,45,24
4623000000,2018,40.1,23
4671000000,2018,50.5,27.6
4672000000,2018,52.5,30.7
4673000000,2018,51.4,20.3
4677000000,2018,54.9,20.6
4678000000,2018,53.3,20.6
4679000000,2018,47.5,23.6
4680000000,2018,51.3,22.1
4681000000,2018,51.4,30
4682000000,2018,50.1,15
4683000000,2018,47.4,24.2
4684000000,2018,43.8,26.4
4686000000,2018,52.7,18.8
4687000000,2018,48.5,32.4
4688000000,2018,48.9,19
4689000000,2018,50.2,19.8
4690000000,2018,51.2,21.4
4691000000,2018,53.2,33.6
4711100000,2018,42.8,23.7
4711300000,2018,42.8,23.7
4713000000,2018,45.8,28.1
4715000000,2018,45.6,26.2
4717000000,2018,46.3,29.2
4719000000,2018,37.7,25.8
4721000000,2018,47.7,26.2
4723000000,2018,49,27.7
4725000000,2018,50.2,14.3
4728000000,2018,49.7,23.3
4729000000,2018,42.2,28.5
4772000000,2018,55.8,17.2
4773000000,2018,56,20.5
4775000000,2018,54.1,24.6
4776000000,2018,53.8,18.7
4777000000,2018,53.3,12.8
4782000000,2018,54.3,16.2
4783000000,2018,50.6,24.9
4784000000,2018,51.6,10
4785000000,2018,41.2,23.3
4790000000,2018,49.4,20.1
4792000000,2018,53.4,21.7
4793000000,2018,48.7,21.7
4794000000,2018,49.4,18.5
4812100000,2018,41,26.3
4812300000,2018,38.6,26.3
4812500000,2018,44.8,26.3
4812700000,2018,42.7,26.3
4812900000,2018,39.8,26.3
4817000000,2018,42,25.1
4822000000,2018,43.6,27.2
4824000000,2018,44.7,15.8
4825000000,2018,39.2,28.9
4827000000,2018,49.1,26.8
4831000000,2018,38.2,20.3
4833000000,2018,40.1,22.8
4872000000,2018,53.6,26.2
4873000000,2018,46.5,26.1
4874000000,2018,50.3,17.2
4882000000,2018,50.1,15.7
4884000000,2018,54.2,20.3
4885000000,2018,52,20.1
4886000000,2018,53.3,17.9
4887000000,2018,51.5,18.9
4888000000,2018,48,25.9
4889000000,2018,54.8,28.1
5011000000,2018,40.4,27.3
5013000000,2018,43.8,27.3
1111000000,2019,44.7,27.7
1114000000,2019,45,22.8
1117000000,2019,44,16.3
1120000000,2019,42.5,32.6
1121500000,2019,41.9,27.3
1123000000,2019,43.7,32.5
1126000000,2019,44.2,26.8
1129000000,2019,42.9,30
1130500000,2019,45.4,27
1132000000,2019,44.6,29
1135000000,2019,42.6,21.1
1138000000,2019,43.7,28.3
1141000000,2019,43.4,28.5
1144000000,2019,41.6,30.8
1147000000,2019,41.6,28.5
1150000000,2019,42,29.9
1153000000,2019,43,26
1154500000,2019,43.9,25.4
1156000000,2019,42.8,28.5
1159000000,2019,42.6,23.1
1162000000,2019,42.2,27.7
1165000000,2019,40.8,28.3
1168000000,2019,40.9,30
1171000000,2019,41.2,23.5
1174000000,2019,42.5,23.1
2611000000,2019,49.7,23.7
2614000000,2019,47.9,20.3
2617000000,2019,48.9,23.3
2620000000,2019,49.2,20.7
2623000000,2019,44.9,28.1
2626000000,2019,43.8,22.1
2629000000,2019,44.4,25.2
2632000000,2019,43.8,18.3
2635000000,2019,43.5,28.3
2638000000,2019,44.4,26
2641000000,2019,45.5,21
2644000000,2019,38.6,21.5
2647000000,2019,44.3,24.7
2650000000,2019,45.6,22
2653000000,2019,44.8,21.5
2671000000,2019,41.2,20.1
2711000000,2019,44.7,26.4
2714000000,2019,44.4,30.7
2717000000,2019,47.4,22.1
2720000000,2019,47.2,21.6
2723000000,2019,41.7,26.8
2726000000,2019,42.1,21.2
2729000000,2019,41.9,24.6
2771000000,2019,39.8,24.3
2811000000,2019,41.3,27
2814000000,2019,46.2,24.5
2817700000,2019,43.4,32.4
2818500000,2019,39,29
2820000000,2019,41.2,30.7
2823700000,2019,42.4,31.3
2824500000,2019,42,25.6
2826000000,2019,39.5,30.4
2871000000,2019,52.3,27.6
2872000000,2019,49.1,26
2911000000,2019,45.5,30.6
2914000000,2019,41.1,28.2
2915500000,2019,42.4,29.5
2917000000,2019,41.6,25.6
2920000000,2019,37.6,30.4
3011000000,2019,44,22.6
3014000000,2019,44.1,22.7
3017000000,2019,40.3,23.6
3020000000,2019,38.1,28.4
3023000000,2019,43.1,28.4
3111000000,2019,42.5,29.4
3114000000,2019,41.2,23.5
3117000000,2019,40.5,25.5
3120000000,2019,37.6,20.5
3171000000,2019,42.2,21.1
3611000000,2019,36.9,29.2
4111100000,2019,41.1,29.1
4111300000,2019,39.8,29.1
4111500000,2019,42.9,29.1
4111700000,2019,36.5,29.1
4113100000,2019,43.3,26.5
4113300000,2019,43.3,26.5
4113500000,2019,40.2,26.5
4115000000,2019,42.3,28.9
4117100000,2019,43.2,27.7
4117300000,2019,40.5,27.7
4119000000,2019,42,33
4121000000,2019,41.5,26.2
4122000000,2019,40.4,27.5
4125000000,2019,44.9,19
4127100000,2019,40.9,30.1
4127300000,2019,40.4,30.1
4128100000,2019,42.1,31.1
4128500000,2019,41.4,31.1
4128700000,2019,40.8,31.1
4129000000,2019,41.9,27.9
4131000000,2019,41.6,24.8
4136000000,2019,40.9,27
4137000000,2019,37.8,25.2
4139000000,2019,38.9,31.7
4141000000,2019,41.2,25.9
4143000000,2019,41.9,25.9
4145000000,2019,40.3,22.8
4146100000,2019,41.6,25.6
4146300000,2019,39.4,25.6
4146500000,2019,39.4,25.6
4148000000,2019,40.6,25.8
4150000000,2019,41,33.2
4155000000,2019,43.3,30.6
4157000000,2019,39.5,26.6
4159000000,2019,36.9,24.6
4161000000,2019,41.1,22
4163000000,2019,42.1,28.9
4165000000,2019,45.9,24
4167000000,2019,46.1,24
4180000000,2019,47.8,17.6
4182000000,2019,48.8,24.4
4183000000,2019,48.2,23.2
4211000000,2019,43.3,28.1
4213000000,2019,42.1,27.7
4215000000,2019,45.6,22.6
4217000000,2019,44.9,24.2
4219000000,2019,47.5,25.5
4221000000,2019,44.9,16.2
4223000000,2019,47.4,24
4272000000,2019,49.1,25.9
4273000000,2019,50.9,21.2
4275000000,2019,51,24.2
4276000000,2019,50.6,22.3
4277000000,2019,50.4,18.6
4278000000,2019,45.4,23.9
4279000000,2019,45.1,24.1
4280000000,2019,44.2,26.6
4281000000,2019,45,22
4282000000,2019,50.4,17.4
4283000000,2019,50.9,18.8
4311100000,2019,42.4,26.8
4311200000,2019,41.7,26.8
4311300000,2019,39.4,26.8
4311400000,2019,39.3,26.8
4313000000,2019,45,27.1
4315000000,2019,46,27.7
4372000000,2019,53.2,33.9
4373000000,2019,50.3,23.6
4374000000,2019,50.9,15.1
4374500000,2019,42.5,29.1
4375000000,2019,42.5,24.5
4376000000,2019,53.4,16.8
4377000000,2019,46.2,27.3
4380000000,2019,51.9,19.3
4413100000,2019,41.4,33.2
4413300000,2019,37.3,33.2
4415000000,2019,48.3,28.7
4418000000,2019,47.9,25.1
4420000000,2019,39.7,25.9
4421000000,2019,43.2,32.8
4423000000,2019,48.1,27.8
4425000000,2019,39.2,23.9
4427000000,2019,43.1,25.9
4471000000,2019,50.8,25.8
4476000000,2019,52.5,22.6
4477000000,2019,53.3,31.4
4479000000,2019,53.1,20.8
4480000000,2019,46,36.4
4481000000,2019,51.1,33.7
4482500000,2019,50.8,27.2
4511100000,2019,42,27
4511300000,2019,40.3,27
4513000000,2019,43.6,28.4
4514000000,2019,44.2,25.6
4518000000,2019,48.5,26.1
4519000000,2019,48.6,20
4521000000,2019,50.9,20.9
4571000000,2019,45.9,25.4
4572000000,2019,52.7,17.6
4573000000,2019,52.1,22.3
4574000000,2019,51.9,18.6
4575000000,2019,52.7,24.3
4577000000,2019,51.6,17.3
4579000000,2019,52.1,29
4580000000,2019,51.7,25.4
4611000000,2019,42,25.5
4613000000,2019,44,26.7
4615000000,2019,42,22.6
4617000000,2019,45.3,27.7
4623000000,2019,40.8,23.3
4671000000,2019,50.8,21.9
4672000000,2019,53.4,27.3
4673000000,2019,52.3,19.3
4677000000,2019,55.6,20.8
4678000000,2019,54.3,18.6
4679000000,2019,48.3,27.7
4680000000,2019,52,17.7
4681000000,2019,52.2,24.4
4682000000,2019,50.9,23.4
4683000000,2019,48,30.9
4684000000,2019,44.3,21
4686000000,2019,53.6,22
4687000000,2019,48.8,29.5
4688000000,2019,49.4,25.1
4689000000,2019,50.9,17.5
4690000000,2019,51.7,26.6
4691000000,2019,54,11.8
4711100000,2019,43.5,25.4
4711300000,2019,43.4,25.4
4713000000,2019,46.5,25.3
4715000000,2019,46.1,24.1
4717000000,2019,47,25.3
4719000000,2019,38.4,25.4
4721000000,2019,48.5,21.8
4723000000,2019,49.4,25.1
4725000000,2019,50.7,14.1
4728000000,2019,50.1,22.6
4729000000,2019,42.8,24.7
4772000000,2019,56.5,23.6
4773000000,2019,56.5,24.9
4775000000,2019,54.8,24.6
4776000000,2019,54.4,27.6
4777000000,2019,54,19.1
4782000000,2019,54.9,23.8
4783000000,2019,51.5,24.9
4784000000,2019,52.4,14
4785000000,2019,42.2,26.5
4790000000,2019,49.2,19.6
4792000000,2019,54.2,24.6
4793000000,2019,49.3,24.6
4794000000,2019,50,18.1
4812100000,2019,41.5,25.4
4812300000,2019,39.3,25.4
4812500000,2019,45.5,25.4
4812700000,2019,43.6,25.4
4812900000,2019,40.5,25.4
4817000000,2019,42.5,25.2
4822000000,2019,44.5,32.3
4824000000,2019,45.5,10
4825000000,2019,39.8,27.1
4827000000,2019,49.8,17.4
4831000000,2019,39,20.7
4833000000,2019,40.7,22.1
4872000000,2019,54.3,22.6
4873000000,2019,47.3,22.9
4874000000,2019,51,18.2
4882000000,2019,50.9,17.2
4884000000,2019,54.5,19.7
4885000000,2019,52.9,21.1
4886000000,2019,54.3,15.4
4887000000,2019,52.2,23.4
4888000000,2019,48.6,27.8
4889000000,2019,55.5,19.5
5011000000,2019,40.9,23.2
5013000000,2019,44.4,23.2
1111000000,2020,45.3,28.6
1114000000,2020,45.6,29.7
1117000000,2020,44.3,24.1
1120000000,2020,43,31.8
1121500000,2020,42.4,29.7
1123000000,2020,44.1,26.2
1126000000,2020,44.8,35.1
1129000000,2020,43.3,33.8
1130500000,2020,46.2,35.1
1132000000,2020,45.5,29
1135000000,2020,43.3,24.4
1138000000,2020,44.2,31.7
1141000000,2020,43.6,20.8
1144000000,2020,42,29.6
1147000000,2020,42.2,30.1
1150000000,2020,42.6,31
1153000000,2020,43.7,27.9
1154500000,2020,44.5,31.1
1156000000,2020,43,31.7
1159000000,2020,43.1,26.8
1162000000,2020,42.6,32.2
1165000000,2020,41.3,29.2
1168000000,2020,41.4,30.6
1171000000,2020,41.7,25.9
1174000000,2020,42.6,28.4
2611000000,2020,50.2,25.3
2614000000,2020,48.4,26.5
2617000000,2020,49.3,23.7
2620000000,2020,50.1,20.7
2623000000,2020,45.3,23.3
2626000000,2020,44.3,28.6
2629000000,2020,45,28
2632000000,2020,44.7,20.4
2635000000,2020,44.1,26.2
2638000000,2020,45.3,29.4
2641000000,2020,46.2,26.8
2644000000,2020,38.8,25.9
2647000000,2020,44.9,27.7
2650000000,2020,46,28
2653000000,2020,45.7,23.8
2671000000,2020,41.5,25.2
2711000000,2020,45,25.8
2714000000,2020,45.1,19
2717000000,2020,48.3,25.3
2720000000,2020,47.6,17.7
2723000000,2020,42.3,24.2
2726000000,2020,42.7,22
2729000000,2020,42.6,24.1
2771000000,2020,40.4,25.5
2811000000,2020,41.7,28.4
2814000000,2020,47.3,32.1
2817700000,2020,44,36.1
2818500000,2020,39.3,29.4
2820000000,2020,42,28.4
2823700000,2020,43.3,35.2
2824500000,2020,43,34.7
2826000000,2020,40.2,36.1
2871000000,2020,52.8,23.6
2872000000,2020,49.9,29.3
2911000000,2020,45.4,29.9
2914000000,2020,41.8,28.3
2915500000,2020,43,27.2
2917000000,2020,42.2,26.7
2920000000,2020,38.3,27.1
3011000000,2020,44.6,18.2
3014000000,2020,44.9,27.7
3017000000,2020,40.9,18.5
3020000000,2020,38.6,29.7
3023000000,2020,43.8,28.3
3111000000,2020,43.4,25.1
3114000000,2020,41.8,27.8
3117000000,2020,41.3,26.5
3120000000,2020,38.2,27.8
3171000000,2020,43,20.2
3611000000,2020,37.3,24.1
4111100000,2020,41.9,27.4
4111300000,2020,40.5,27.4
4111500000,2020,43.4,27.4
4111700000,2020,37.2,27.4
4113100000,2020,43.7,27.7
4113300000,2020,43.9,27.7
4113500000,2020,40.7,27.7
4115000000,2020,42.8,27.2
4117100000,2020,43.9,30
4117300000,2020,41.2,30
4119000000,2020,42.7,32.2
4121000000,2020,42,30.4
4122000000,2020,40.6,28.9
4125000000,2020,45.7,25.6
4127100000,2020,41.5,32.2
4127300000,2020,41.1,32.2
4128100000,2020,42.6,31.1
4128500000,2020,42,31.1
4128700000,2020,41.5,31.1
4129000000,2020,42,26.5
4131000000,2020,42.3,30.7
4136000000,2020,41.5,29.7
4137000000,2020,38.4,28.4
4139000000,2020,39.4,33.8
4141000000,2020,42,27.9
4143000000,2020,42.1,28.8
4145000000,2020,40.5,26.6
4146100000,2020,42.2,25.1
4146300000,2020,40.1,25.1
4146500000,2020,39.9,25.1
4148000000,2020,41.1,28.1
4150000000,2020,41.6,32
4155000000,2020,43.9,25.8
4157000000,2020,39.7,34.2
4159000000,2020,37.4,30.3
4161000000,2020,41.7,22.5
4163000000,2020,42.5,22.5
4165000000,2020,46.7,28.3
4167000000,2020,46.7,25.5
4180000000,2020,48.5,23.5
4182000000,2020,49.5,20.1
4183000000,2020,48.9,28.2
4211000000,2020,43.8,33.1
4213000000,2020,42.6,32.7
4215000000,2020,46.3,30.5
4217000000,2020,45.5,22.5
4219000000,2020,48.4,25.3
4221000000,2020,45.4,16.3
4223000000,2020,48.5,26.6
