시도,시군구,행정번호,년도,평균연령,스트레스인지율
서울특별시,서울종로구,1111000000,2018,44.2,34.2
서울특별시,서울중구,1114000000,2018,44.6,28.3
서울특별시,서울용산구,1117000000,2018,43.6,20
서울특별시,서울성동구,1120000000,2018,42,31.3
서울특별시,서울광진구,1121500000,2018,41.4,29.4
서울특별시,서울동대문구,1123000000,2018,43.3,28
서울특별시,서울중랑구,1126000000,2018,43.5,32.8
서울특별시,서울성북구,1129000000,2018,42.5,29.5
서울특별시,서울강북구,1130500000,2018,44.7,31
서울특별시,서울도봉구,1132000000,2018,43.9,28.9
서울특별시,서울노원구,1135000000,2018,41.9,26.1
서울특별시,서울은평구,1138000000,2018,43.1,22.9
서울특별시,서울서대문구,1141000000,2018,43,25.8
서울특별시,서울마포구,1144000000,2018,41.2,16.6
서울특별시,서울양천구,1147000000,2018,41,29.3
서울특별시,서울강서구,1150000000,2018,41.4,33.2
서울특별시,서울구로구,1153000000,2018,42.5,24.5
서울특별시,서울금천구,1154500000,2018,43.4,30.7
서울특별시,서울영등포구,1156000000,2018,42.5,27.8
서울특별시,서울동작구,1159000000,2018,42.1,36.1
서울특별시,서울관악구,1162000000,2018,41.7,25.3
서울특별시,서울서초구,1165000000,2018,40.4,34.1
서울특별시,서울강남구,1168000000,2018,40.5,32.5
서울특별시,서울송파구,1171000000,2018,40.7,16.1
서울특별시,서울강동구,1174000000,2018,42.1,24.1
부산광역시,부산중구,2611000000,2018,48.9,24.8
부산광역시,부산서구,2614000000,2018,47.3,21.4
부산광역시,부산동구,2617000000,2018,48.6,26.9
부산광역시,부산영도구,2620000000,2018,48.4,25.2
부산광역시,부산부산진구,2623000000,2018,44.4,25.8
부산광역시,부산동래구,2626000000,2018,43.5,19.2
부산광역시,부산남구,2629000000,2018,43.9,28.1
부산광역시,부산북구,2632000000,2018,43,20.1
부산광역시,부산해운대구,2635000000,2018,42.9,21.3
부산광역시,부산사하구,2638000000,2018,43.6,23.1
부산광역시,부산금정구,2641000000,2018,44.8,21.8
부산광역시,부산강서구,2644000000,2018,38.4,29
부산광역시,부산연제구,2647000000,2018,43.8,29.6
부산광역시,부산수영구,2650000000,2018,45.1,30.1
부산광역시,부산사상구,2653000000,2018,44,27.1
부산광역시,부산기장군,2671000000,2018,40.5,23.6
대구광역시,대구중구,2711000000,2018,44.4,27.6
대구광역시,대구동구,2714000000,2018,43.7,21.3
대구광역시,대구서구,2717000000,2018,46.5,16.5
대구광역시,대구남구,2720000000,2018,46.7,22.9
대구광역시,대구북구,2723000000,2018,41,24.4
대구광역시,대구수성구,2726000000,2018,41.6,21.4
대구광역시,대구달서구,2729000000,2018,41.2,25.3
대구광역시,대구달성군,2771000000,2018,39.3,26.2
인천광역시,인천중구,2811000000,2018,41.5,30.7
인천광역시,인천동구,2814000000,2018,45.3,30.6
인천광역시,인천미추홀구,2817700000,2018,42.7,36.8
인천광역시,인천연수구,2818500000,2018,38.7,29.9
인천광역시,인천남동구,2820000000,2018,40.5,29.5
인천광역시,인천부평구,2823700000,2018,41.7,32.6
인천광역시,인천계양구,2824500000,2018,41.2,27.7
인천광역시,인천서구,2826000000,2018,38.9,33.2
인천광역시,인천강화군,2871000000,2018,51.7,30.2
인천광역시,인천옹진군,2872000000,2018,48.3,33
광주광역시,광주동구,2911000000,2018,45.6,29.5
광주광역시,광주서구,2914000000,2018,40.4,29.4
광주광역시,광주남구,2915500000,2018,42,26.1
광주광역시,광주북구,2917000000,2018,40.9,22.5
광주광역시,광주광산구,2920000000,2018,37,28.6
대전광역시,대전동구,3011000000,2018,43.3,24
대전광역시,대전중구,3014000000,2018,43.4,26.6
대전광역시,대전서구,3017000000,2018,39.8,30.2
대전광역시,대전유성구,3020000000,2018,37.5,26.7
대전광역시,대전대덕구,3023000000,2018,42.2,29.9
울산광역시,울산중구,3111000000,2018,41.6,39.8
울산광역시,울산남구,3114000000,2018,40.5,23
울산광역시,울산동구,3117000000,2018,39.6,18.9
울산광역시,울산북구,3120000000,2018,37.2,21.8
울산광역시,울산울주군,3171000000,2018,41.5,21.5
세종특별자치시,세종시,3611000000,2018,36.7,30.1
경기도,경기수원장안구,4111100000,2018,40.4,27.7
경기도,경기수원권선구,4111300000,2018,39.1,27.7
경기도,경기수원팔달구,4111500000,2018,42.2,27.7
경기도,경기수원영통구,4111700000,2018,36,27.7
경기도,경기성남수정구,4113100000,2018,42.7,29.4
경기도,경기성남중원구,4113300000,2018,42.6,29.4
경기도,경기성남분당구,4113500000,2018,39.7,29.4
경기도,경기의정부시,4115000000,2018,41.7,27.8
경기도,경기안양만안구,4117100000,2018,42.4,27.2
경기도,경기안양동안구,4117300000,2018,39.9,27.2
경기도,경기부천시,4119000000,2018,41.2,30.3
경기도,경기광명시,4121000000,2018,40.8,30.5
경기도,경기평택시,4122000000,2018,40,28.9
경기도,경기동두천시,4125000000,2018,44.1,27
경기도,경기안산상록구,4127100000,2018,40.1,30.8
경기도,경기안산단원구,4127300000,2018,39.8,30.8
경기도,경기고양덕양구,4128100000,2018,41.6,30.5
경기도,경기고양일산동구,4128500000,2018,40.7,30.5
경기도,경기고양일산서구,4128700000,2018,40.2,30.5
경기도,경기과천시,4129000000,2018,41.5,29
경기도,경기구리시,4131000000,2018,40.8,26.5
경기도,경기남양주시,4136000000,2018,40.5,31.2
경기도,경기오산시,4137000000,2018,37.1,31
경기도,경기시흥시,4139000000,2018,38.6,23.6
경기도,경기군포시,4141000000,2018,40.5,32.6
경기도,경기의왕시,4143000000,2018,41.5,30.4
경기도,경기하남시,4145000000,2018,40.1,29.1
경기도,경기용인처인구,4146100000,2018,41,26.5
경기도,경기용인기흥구,4146300000,2018,38.7,26.5
경기도,경기용인수지구,4146500000,2018,39,26.5
경기도,경기파주시,4148000000,2018,40,31.6
경기도,경기이천시,4150000000,2018,40.5,28.5
경기도,경기안성시,4155000000,2018,42.6,27.9
경기도,경기김포시,4157000000,2018,39,29.5
경기도,경기화성시,4159000000,2018,36.6,26.4
경기도,경기광주시,4161000000,2018,40.5,19.5
경기도,경기양주시,4163000000,2018,41.6,18.4
경기도,경기포천시,4165000000,2018,45,31.1
경기도,경기여주시,4167000000,2018,45.3,32.4
경기도,경기연천군,4180000000,2018,47,17.2
경기도,경기가평군,4182000000,2018,48.1,25.5
경기도,경기양평군,4183000000,2018,47.5,29.6
강원도,강원춘천시,4211000000,2018,42.8,26.5
강원도,강원원주시,4213000000,2018,41.6,30.4
강원도,강원강릉시,4215000000,2018,45.1,25.7
강원도,강원동해시,4217000000,2018,44.1,22.4
강원도,강원태백시,4219000000,2018,46.6,26.5
강원도,강원속초시,4221000000,2018,44.3,19.3
강원도,강원삼척시,4223000000,2018,46.7,28.7
강원도,강원홍천군,4272000000,2018,48.2,29
강원도,강원횡성군,4273000000,2018,50.1,28.1
강원도,강원영월군,4275000000,2018,50.1,27.5
강원도,강원평창군,4276000000,2018,49.7,26.2
강원도,강원정선군,4277000000,2018,49.6,25.3
강원도,강원철원군,4278000000,2018,44.7,23.4
강원도,강원화천군,4279000000,2018,44.5,27.1
강원도,강원양구군,4280000000,2018,43.3,29.4
강원도,강원인제군,4281000000,2018,44.4,28.2
강원도,강원고성군,4282000000,2018,49.4,31.3
강원도,강원양양군,4283000000,2018,50.4,23.8
충청북도,충북청주상당구,4311100000,2018,41.9,28.5
충청북도,충북청주서원구,4311200000,2018,40.8,28.5
충청북도,충북청주흥덕구,4311300000,2018,39,28.5
충청북도,충북청주청원구,4311400000,2018,38.7,28.5
충청북도,충북충주시,4313000000,2018,44.4,28.9
충청북도,충북제천시,4315000000,2018,45.3,24.5
충청북도,충북보은군,4372000000,2018,52.2,24.7
충청북도,충북옥천군,4373000000,2018,49.7,19.7
충청북도,충북영동군,4374000000,2018,50.2,17.1
충청북도,충북증평군,4374500000,2018,41.9,27.1
충청북도,충북진천군,4375000000,2018,42.3,26.7
충청북도,충북괴산군,4376000000,2018,52.9,20.5
충청북도,충북음성군,4377000000,2018,45.5,25.8
충청북도,충북단양군,4380000000,2018,51,26.4
충청남도,충남천안동남구,4413100000,2018,40.9,28.6
충청남도,충남천안서북구,4413300000,2018,36.8,28.6
충청남도,충남공주시,4415000000,2018,47.6,25.6
충청남도,충남보령시,4418000000,2018,47.2,26.4
충청남도,충남아산시,4420000000,2018,39.1,25.5
충청남도,충남서산시,4421000000,2018,42.6,26.1
충청남도,충남논산시,4423000000,2018,47.5,26
충청남도,충남계룡시,4425000000,2018,38.4,24.8
충청남도,충남당진시,4427000000,2018,42.5,28.7
충청남도,충남금산군,4471000000,2018,50.1,29.9
충청남도,충남부여군,4476000000,2018,51.7,22.4
충청남도,충남서천군,4477000000,2018,52.6,22
충청남도,충남청양군,4479000000,2018,52.2,24.2
충청남도,충남홍성군,4480000000,2018,45.4,28.5
충청남도,충남예산군,4481000000,2018,50.4,28.2
충청남도,충남태안군,4482500000,2018,50.1,22.2
전라북도,전북전주완산구,4511100000,2018,41.3,32.5
전라북도,전북전주덕진구,4511300000,2018,39.9,32.5
전라북도,전북군산시,4513000000,2018,42.9,27.6
전라북도,전북익산시,4514000000,2018,43.4,29.1
전라북도,전북정읍시,4518000000,2018,47.8,24
전라북도,전북남원시,4519000000,2018,47.9,19.4
전라북도,전북김제시,4521000000,2018,50.2,33.8
전라북도,전북완주군,4571000000,2018,45,20.2
전라북도,전북진안군,4572000000,2018,52,18.9
전라북도,전북무주군,4573000000,2018,51.4,27.9
전라북도,전북장수군,4574000000,2018,50.9,13.2
전라북도,전북임실군,4575000000,2018,51.6,19.2
전라북도,전북순창군,4577000000,2018,50.8,15.4
전라북도,전북고창군,4579000000,2018,51.2,27.8
전라북도,전북부안군,4580000000,2018,50.9,26.6
전라남도,전남목포시,4611000000,2018,41.4,32.7
전라남도,전남여수시,4613000000,2018,43.4,25
전라남도,전남순천시,4615000000,2018,41.4,25.3
전라남도,전남나주시,4617000000,2018,45,24
전라남도,전남광양시,4623000000,2018,40.1,23
전라남도,전남담양군,4671000000,2018,50.5,27.6
전라남도,전남곡성군,4672000000,2018,52.5,30.7
전라남도,전남구례군,4673000000,2018,51.4,20.3
전라남도,전남고흥군,4677000000,2018,54.9,20.6
전라남도,전남보성군,4678000000,2018,53.3,20.6
전라남도,전남화순군,4679000000,2018,47.5,23.6
전라남도,전남장흥군,4680000000,2018,51.3,22.1
전라남도,전남강진군,4681000000,2018,51.4,30
전라남도,전남해남군,4682000000,2018,50.1,15
전라남도,전남영암군,4683000000,2018,47.4,24.2
전라남도,전남무안군,4684000000,2018,43.8,26.4
전라남도,전남함평군,4686000000,2018,52.7,18.8
전라남도,전남영광군,4687000000,2018,48.5,32.4
전라남도,전남장성군,4688000000,2018,48.9,19
전라남도,전남완도군,4689000000,2018,50.2,19.8
전라남도,전남진도군,4690000000,2018,51.2,21.4
전라남도,전남신안군,4691000000,2018,53.2,33.6
경상북도,경북포항남구,4711100000,2018,42.8,23.7
경상북도,경북포항북구,4711300000,2018,42.8,23.7
경상북도,경북경주시,4713000000,2018,45.8,28.1
경상북도,경북김천시,4715000000,2018,45.6,26.2
경상북도,경북안동시,4717000000,2018,46.3,29.2
경상북도,경북구미시,4719000000,2018,37.7,25.8
경상북도,경북영주시,4721000000,2018,47.7,26.2
경상북도,경북영천시,4723000000,2018,49,27.7
경상북도,경북상주시,4725000000,2018,50.2,14.3
경상북도,경북문경시,4728000000,2018,49.7,23.3
경상북도,경북경산시,4729000000,2018,42.2,28.5
경상북도,경북군위군,4772000000,2018,55.8,17.2
경상북도,경북의성군,4773000000,2018,56,20.5
경상북도,경북청송군,4775000000,2018,54.1,24.6
경상북도,경북영양군,4776000000,2018,53.8,18.7
경상북도,경북영덕군,4777000000,2018,53.3,12.8
경상북도,경북청도군,4782000000,2018,54.3,16.2
경상북도,경북고령군,4783000000,2018,50.6,24.9
경상북도,경북성주군,4784000000,2018,51.6,10
경상북도,경북칠곡군,4785000000,2018,41.2,23.3
경상북도,경북예천군,4790000000,2018,49.4,20.1
경상북도,경북봉화군,4792000000,2018,53.4,21.7
경상북도,경북울진군,4793000000,2018,48.7,21.7
경상북도,경북울릉군,4794000000,2018,49.4,18.5
경상남도,경남창원의창구,4812100000,2018,41,26.3
경상남도,경남창원성산구,4812300000,2018,38.6,26.3
경상남도,경남창원마산합포구,4812500000,2018,44.8,26.3
경상남도,경남창원마산회원구,4812700000,2018,42.7,26.3
경상남도,경남창원진해구,4812900000,2018,39.8,26.3
경상남도,경남진주시,4817000000,2018,42,25.1
경상남도,경남통영시,4822000000,2018,43.6,27.2
경상남도,경남사천시,4824000000,2018,44.7,15.8
경상남도,경남김해시,4825000000,2018,39.2,28.9
경상남도,경남밀양시,4827000000,2018,49.1,26.8
경상남도,경남거제시,4831000000,2018,38.2,20.3
경상남도,경남양산시,4833000000,2018,40.1,22.8
경상남도,경남의령군,4872000000,2018,53.6,26.2
경상남도,경남함안군,4873000000,2018,46.5,26.1
경상남도,경남창녕군,4874000000,2018,50.3,17.2
경상남도,경남고성군,4882000000,2018,50.1,15.7
경상남도,경남남해군,4884000000,2018,54.2,20.3
경상남도,경남하동군,4885000000,2018,52,20.1
경상남도,경남산청군,4886000000,2018,53.3,17.9
경상남도,경남함양군,4887000000,2018,51.5,18.9
경상남도,경남거창군,4888000000,2018,48,25.9
경상남도,경남합천군,4889000000,2018,54.8,28.1
제주특별자치도,제주제주시,5011000000,2018,40.4,27.3
제주특별자치도,제주서귀포시,5013000000,2018,43.8,27.3
서울특별시,서울종로구,1111000000,2019,44.7,27.7
서울특별시,서울중구,1114000000,2019,45,22.8
서울특별시,서울용산구,1117000000,2019,44,16.3
서울특별시,서울성동구,1120000000,2019,42.5,32.6
서울특별시,서울광진구,1121500000,2019,41.9,27.3
서울특별시,서울동대문구,1123000000,2019,43.7,32.5
서울특별시,서울중랑구,1126000000,2019,44.2,26.8
서울특별시,서울성북구,1129000000,2019,42.9,30
서울특별시,서울강북구,1130500000,2019,45.4,27
서울특별시,서울도봉구,1132000000,2019,44.6,29
서울특별시,서울노원구,1135000000,2019,42.6,21.1
서울특별시,서울은평구,1138000000,2019,43.7,28.3
서울특별시,서울서대문구,1141000000,2019,43.4,28.5
서울특별시,서울마포구,1144000000,2019,41.6,30.8
서울특별시,서울양천구,1147000000,2019,41.6,28.5
서울특별시,서울강서구,1150000000,2019,42,29.9
서울특별시,서울구로구,1153000000,2019,43,26
서울특별시,서울금천구,1154500000,2019,43.9,25.4
서울특별시,서울영등포구,1156000000,2019,42.8,28.5
서울특별시,서울동작구,1159000000,2019,42.6,23.1
서울특별시,서울관악구,1162000000,2019,42.2,27.7
서울특별시,서울서초구,1165000000,2019,40.8,28.3
서울특별시,서울강남구,1168000000,2019,40.9,30
서울특별시,서울송파구,1171000000,2019,41.2,23.5
서울특별시,서울강동구,1174000000,2019,42.5,23.1
부산광역시,부산중구,2611000000,2019,49.7,23.7
부산광역시,부산서구,2614000000,2019,47.9,20.3
부산광역시,부산동구,2617000000,2019,48.9,23.3
부산광역시,부산영도구,2620000000,2019,49.2,20.7
부산광역시,부산부산진구,2623000000,2019,44.9,28.1
부산광역시,부산동래구,2626000000,2019,43.8,22.1
부산광역시,부산남구,2629000000,2019,44.4,25.2
부산광역시,부산북구,2632000000,2019,43.8,18.3
부산광역시,부산해운대구,2635000000,2019,43.5,28.3
부산광역시,부산사하구,2638000000,2019,44.4,26
부산광역시,부산금정구,2641000000,2019,45.5,21
부산광역시,부산강서구,2644000000,2019,38.6,21.5
부산광역시,부산연제구,2647000000,2019,44.3,24.7
부산광역시,부산수영구,2650000000,2019,45.6,22
부산광역시,부산사상구,2653000000,2019,44.8,21.5
부산광역시,부산기장군,2671000000,2019,41.2,20.1
대구광역시,대구중구,2711000000,2019,44.7,26.4
대구광역시,대구동구,2714000000,2019,44.4,30.7
대구광역시,대구서구,2717000000,2019,47.4,22.1
대구광역시,대구남구,2720000000,2019,47.2,21.6
대구광역시,대구북구,2723000000,2019,41.7,26.8
대구광역시,대구수성구,2726000000,2019,42.1,21.2
대구광역시,대구달서구,2729000000,2019,41.9,24.6
대구광역시,대구달성군,2771000000,2019,39.8,24.3
인천광역시,인천중구,2811000000,2019,41.3,27
인천광역시,인천동구,2814000000,2019,46.2,24.5
인천광역시,인천미추홀구,2817700000,2019,43.4,32.4
인천광역시,인천연수구,2818500000,2019,39,29
인천광역시,인천남동구,2820000000,2019,41.2,30.7
인천광역시,인천부평구,2823700000,2019,42.4,31.3
인천광역시,인천계양구,2824500000,2019,42,25.6
인천광역시,인천서구,2826000000,2019,39.5,30.4
인천광역시,인천강화군,2871000000,2019,52.3,27.6
인천광역시,인천옹진군,2872000000,2019,49.1,26
광주광역시,광주동구,2911000000,2019,45.5,30.6
광주광역시,광주서구,2914000000,2019,41.1,28.2
광주광역시,광주남구,2915500000,2019,42.4,29.5
광주광역시,광주북구,2917000000,2019,41.6,25.6
광주광역시,광주광산구,2920000000,2019,37.6,30.4
대전광역시,대전동구,3011000000,2019,44,22.6
대전광역시,대전중구,3014000000,2019,44.1,22.7
대전광역시,대전서구,3017000000,2019,40.3,23.6
대전광역시,대전유성구,3020000000,2019,38.1,28.4
대전광역시,대전대덕구,3023000000,2019,43.1,28.4
울산광역시,울산중구,3111000000,2019,42.5,29.4
울산광역시,울산남구,3114000000,2019,41.2,23.5
울산광역시,울산동구,3117000000,2019,40.5,25.5
울산광역시,울산북구,3120000000,2019,37.6,20.5
울산광역시,울산울주군,3171000000,2019,42.2,21.1
세종특별자치시,세종시,3611000000,2019,36.9,29.2
경기도,경기수원장안구,4111100000,2019,41.1,29.1
경기도,경기수원권선구,4111300000,2019,39.8,29.1
경기도,경기수원팔달구,4111500000,2019,42.9,29.1
경기도,경기수원영통구,4111700000,2019,36.5,29.1
경기도,경기성남수정구,4113100000,2019,43.3,26.5
경기도,경기성남중원구,4113300000,2019,43.3,26.5
경기도,경기성남분당구,4113500000,2019,40.2,26.5
경기도,경기의정부시,4115000000,2019,42.3,28.9
경기도,경기안양만안구,4117100000,2019,43.2,27.7
경기도,경기안양동안구,4117300000,2019,40.5,27.7
경기도,경기부천시,4119000000,2019,42,33
경기도,경기광명시,4121000000,2019,41.5,26.2
경기도,경기평택시,4122000000,2019,40.4,27.5
경기도,경기동두천시,4125000000,2019,44.9,19
경기도,경기안산상록구,4127100000,2019,40.9,30.1
경기도,경기안산단원구,4127300000,2019,40.4,30.1
경기도,경기고양덕양구,4128100000,2019,42.1,31.1
경기도,경기고양일산동구,4128500000,2019,41.4,31.1
경기도,경기고양일산서구,4128700000,2019,40.8,31.1
경기도,경기과천시,4129000000,2019,41.9,27.9
경기도,경기구리시,4131000000,2019,41.6,24.8
경기도,경기남양주시,4136000000,2019,40.9,27
경기도,경기오산시,4137000000,2019,37.8,25.2
경기도,경기시흥시,4139000000,2019,38.9,31.7
경기도,경기군포시,4141000000,2019,41.2,25.9
경기도,경기의왕시,4143000000,2019,41.9,25.9
경기도,경기하남시,4145000000,2019,40.3,22.8
경기도,경기용인처인구,4146100000,2019,41.6,25.6
경기도,경기용인기흥구,4146300000,2019,39.4,25.6
경기도,경기용인수지구,4146500000,2019,39.4,25.6
경기도,경기파주시,4148000000,2019,40.6,25.8
경기도,경기이천시,4150000000,2019,41,33.2
경기도,경기안성시,4155000000,2019,43.3,30.6
경기도,경기김포시,4157000000,2019,39.5,26.6
경기도,경기화성시,4159000000,2019,36.9,24.6
경기도,경기광주시,4161000000,2019,41.1,22
경기도,경기양주시,4163000000,2019,42.1,28.9
경기도,경기포천시,4165000000,2019,45.9,24
경기도,경기여주시,4167000000,2019,46.1,24
경기도,경기연천군,4180000000,2019,47.8,17.6
경기도,경기가평군,4182000000,2019,48.8,24.4
경기도,경기양평군,4183000000,2019,48.2,23.2
강원도,강원춘천시,4211000000,2019,43.3,28.1
강원도,강원원주시,4213000000,2019,42.1,27.7
강원도,강원강릉시,4215000000,2019,45.6,22.6
강원도,강원동해시,4217000000,2019,44.9,24.2
강원도,강원태백시,4219000000,2019,47.5,25.5
강원도,강원속초시,4221000000,2019,44.9,16.2
강원도,강원삼척시,4223000000,2019,47.4,24
강원도,강원홍천군,4272000000,2019,49.1,25.9
강원도,강원횡성군,4273000000,2019,50.9,21.2
강원도,강원영월군,4275000000,2019,51,24.2
강원도,강원평창군,4276000000,2019,50.6,22.3
강원도,강원정선군,4277000000,2019,50.4,18.6
강원도,강원철원군,4278000000,2019,45.4,23.9
강원도,강원화천군,4279000000,2019,45.1,24.1
강원도,강원양구군,4280000000,2019,44.2,26.6
강원도,강원인제군,4281000000,2019,45,22
강원도,강원고성군,4282000000,2019,50.4,17.4
강원도,강원양양군,4283000000,2019,50.9,18.8
충청북도,충북청주상당구,4311100000,2019,42.4,26.8
충청북도,충북청주서원구,4311200000,2019,41.7,26.8
충청북도,충북청주흥덕구,4311300000,2019,39.4,26.8
충청북도,충북청주청원구,4311400000,2019,39.3,26.8
충청북도,충북충주시,4313000000,2019,45,27.1
충청북도,충북제천시,4315000000,2019,46,27.7
충청북도,충북보은군,4372000000,2019,53.2,33.9
충청북도,충북옥천군,4373000000,2019,50.3,23.6
충청북도,충북영동군,4374000000,2019,50.9,15.1
충청북도,충북증평군,4374500000,2019,42.5,29.1
충청북도,충북진천군,4375000000,2019,42.5,24.5
충청북도,충북괴산군,4376000000,2019,53.4,16.8
충청북도,충북음성군,4377000000,2019,46.2,27.3
충청북도,충북단양군,4380000000,2019,51.9,19.3
충청남도,충남천안동남구,4413100000,2019,41.4,33.2
충청남도,충남천안서북구,4413300000,2019,37.3,33.2
충청남도,충남공주시,4415000000,2019,48.3,28.7
충청남도,충남보령시,4418000000,2019,47.9,25.1
충청남도,충남아산시,4420000000,2019,39.7,25.9
충청남도,충남서산시,4421000000,2019,43.2,32.8
충청남도,충남논산시,4423000000,2019,48.1,27.8
충청남도,충남계룡시,4425000000,2019,39.2,23.9
충청남도,충남당진시,4427000000,2019,43.1,25.9
충청남도,충남금산군,4471000000,2019,50.8,25.8
충청남도,충남부여군,4476000000,2019,52.5,22.6
충청남도,충남서천군,4477000000,2019,53.3,31.4
충청남도,충남청양군,4479000000,2019,53.1,20.8
충청남도,충남홍성군,4480000000,2019,46,36.4
충청남도,충남예산군,4481000000,2019,51.1,33.7
충청남도,충남태안군,4482500000,2019,50.8,27.2
